run,goal_id,result,time_sec,start_ns,end_ns,notes
1,b0a16792a4f4214780e01f98c04aaf9a,S,13.031,1769338485285045531,1769338498315776744,baseline
2,7f52612dd615799086bf012915bb9df6,S,12.961,1769338602154046035,1769338615115030327,baseline
3,c60a716c54b5d760391a89237616c221,S,14.007,1769338675281925012,1769338689289375307,baseline
4,6c0e147a877b618dc197014f7140d68f,S,13.366,1769338745005582940,1769338758372000662,baseline
5,03089d311923c6b0ed2eba461c2fe5cc,S,13.195,1769338828508059932,1769338841703401624,baseline
6,3e145d680119e059c2a1e1e1731348ad,S,12.861,1769338979159291843,1769338992020789178,baseline
7,7979f4e338d042f00467a6a16ff9711b,S,12.561,1769339122049459470,1769339134610490385,baseline
8,d7591e1bfdb36b5223fbb2790bfdad32,S,12.761,1769339182411887103,1769339195172496457,baseline
9,a1b40de24786f8ba8131960e36a63343,S,13.587,1769339268663155732,1769339282250440080,baseline
10,6d1594a20fb2813b44fd69f073cf419e,S,12.471,1769339414645439727,1769339427116679989,baseline
