run,goal_id,result,time_sec,notes,recovery,recovery_types,recovery_hits,bt_start_line,bt_end_line
1,ccb0857bde23f9191f8c2a565888f7ea,S,11.861,W4D5 AplusB tol=0.4 theta=0.6,N,,0,0,845
2,ca2c23d5e20056abb4dcbfb0b10e089f,S,11.961,W4D5 AplusB tol=0.4 theta=0.6,N,,0,8155,9000
3,ce438518d85a795b44bba1d8a236ba6c,S,12.061,W4D5 AplusB tol=0.4 theta=0.6,N,,0,20012,20857
4,6405af14d93f4740e5d32a9ba054bdb5,S,11.861,W4D5 AplusB tol=0.4 theta=0.6,N,,0,35307,36152
5,8148b7250853a12fcb40b3d633be7f81,S,12.657,W4D5 AplusB tol=0.4 theta=0.6,N,,0,38040,38885
6,07620dcd6e3d003b9eeb049175e621e5,S,12.756,W4D5 AplusB tol=0.4 theta=0.6,N,,0,47646,48554
7,0388acb1cb7b2f0f9540c26fa567542d,S,11.661,W4D5 AplusB tol=0.4 theta=0.6,N,,0,50253,51098
8,71c1c3dfb6e5698db6bd0799cbd2413a,S,12.835,W4D5 AplusB tol=0.4 theta=0.6,N,,0,52636,53544
9,43d7ec37632353978d99b0ab540f6c7d,S,11.760,W4D5 AplusB tol=0.4 theta=0.6,N,,0,77802,78647
10,2ea19b943642db3f86e772437db6cdbf,S,11.860,W4D5 AplusB tol=0.4 theta=0.6,N,,0,80248,81093
11,5713cba1f3b58147c0f19521cb1a01c9,S,13.302,W4D5 AplusB tol=0.4 theta=0.6,N,,0,89668,90560
12,211b53d62b7654d8a516328c7bd9e575,S,12.061,W4D5 AplusB tol=0.4 theta=0.6,N,,0,102076,102921
13,0b3c0d28eb499fd47a5ae15bafc95979,S,14.248,W4D5 AplusB tol=0.4 theta=0.6,N,,0,116659,117630
14,390fe13c896f47ddc0e26ea0ec16a301,S,11.761,W4D5 AplusB tol=0.4 theta=0.6,N,,0,120276,121121
15,d5d216f3d681ae830085dee94f262814,S,12.061,W4D5 AplusB tol=0.4 theta=0.6,N,,0,127738,128583
16,365ba6784dc91560cbb57997a3a07f0f,S,12.996,W4D5 AplusB tol=0.4 theta=0.6,N,,0,153118,153963
17,0df8e4d533d1ec86a59a6f870786ffd1,S,11.961,W4D5 AplusB tol=0.4 theta=0.6,N,,0,155438,156283
18,5f341fffeba8d212113d811b760e2556,S,12.261,W4D5 AplusB tol=0.4 theta=0.6,N,,0,158923,159705
19,9152bc3ae149e8011215928738e71993,S,12.933,W4D5 AplusB tol=0.4 theta=0.6,N,,0,167185,168030
20,b2cf30e9d91d71d81f1c40f88ec7709e,S,12.451,W4D5 AplusB tol=0.4 theta=0.6,N,,0,200103,201011
